event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-12-28---2016-01-25_cluster_None,2016,2015-12-28,2016-01-25,21,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2015-12-28---2016-01-25_duration_21_days_cluster_305_A0_001191_A_001611_lat_06173_lon_02775_size_0426.tif,0,,234,14668
2015-12-28---2016-02-22_cluster_None,2016,2015-12-28,2016-02-22,42,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2015-12-28---2016-02-22_duration_42_days_cluster_295_A0_001005_A_001282_lat_05056_lon_00078_size_0424.tif,100,Aboncourt-sur-Seille; Airel; Amigny-Rouy; Ancemont; Appeville; Aulnois-sur-Seille; Auvers; Bettange; Bey-sur-Seille; Blacy; Bouquemont; Boutteville; Bouée; Briollay; Brives-sur-Charente; Brixey-aux-Chanoines; Brécy-Brières; Brétigny; Bussac-sur-Charente; Carentan-les-Marais; Chantes; Charny-sur-Meuse; Chauvoncourt; Colombiers; Colombières; Commercy; Courcelles-Chaussy; Courcoury; Couëron; Créances; Deuillet; Dissay-sous-Courcillon; Donges; Duzey; Frossay; Gigny-sur-Saône; Glanon; Graignes-Mesnil-Angot; Hampigny; Hazembourg; Holling; Jallerange; La Ferté-sur-Chiers; Le Chemin; Lechâtelet; Les Gonds; Les Monthairons; Liesville-sur-Douve; Maizeroy; Maizey; Manhoué; Maxey-sur-Vaise; Merpins; Mont-lès-Seurre; Montlebon; Morville-sur-Seille; Méautis; Ougney; Pagney; Pommérieux; Pont-Hébert; Pontoise-lès-Noyon; Port-Saint-Père; Rances; Remilly Les Marais; Rigny-la-Salle; Rouffiac; Rouvrois-sur-Meuse; Saint-André-de-Bohon; Saint-Denis-du-Payré; Saint-Fromond; Saint-Gervais-en-Vallière; Saint-Martin-aux-Champs; Saint-Sever-de-Saintonge; Saint-Viaud; Salignac-sur-Charente; Sanry-sur-Nied; Saunières; Sepvigny; Servais; Servon-Melzicourt; Seurre; Seveux-Motey; Sinceny; Soing-Cubry-Charentenay; Songy; Taillancourt; Thervay; Tribehou; Vandy; Varenguebec; Varesnes; Vecqueville; Velet; Vellexon-Queutrey-et-Vaudey; Verrières; Vitreux; Vitry-la-Ville; Éblange; Écouflant,25470,6106
2016-01-04---2016-01-11_cluster_None,2016,2016-01-04,2016-01-11,7,,6,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-04---2016-01-11_duration_7_days_cluster_005_A0_000009_A_000011_lat_04378_lon_-0108_size_0015.tif,0,,815,813
2016-01-04---2016-01-25_cluster_None,2016,2016-01-04,2016-01-25,14,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-04---2016-01-25_duration_14_days_cluster_004_A0_000110_A_000161_lat_03957_lon_-0715_size_0183.tif,0,,815,1975
2016-01-11---2016-01-18_cluster_None,2016,2016-01-11,2016-01-18,7,,4,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-11---2016-01-18_duration_7_days_cluster_013_A0_000029_A_000036_lat_05261_lon_00685_size_0109.tif,0,,0,0
2016-01-11---2016-02-01_cluster_None,2016,2016-01-11,2016-02-01,21,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-11---2016-02-01_duration_21_days_cluster_014_A0_000119_A_000180_lat_04606_lon_01707_size_0089.tif,0,,0,0
2016-01-18---2016-01-25_cluster_None,2016,2016-01-18,2016-01-25,7,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-18---2016-01-25_duration_7_days_cluster_018_A0_000005_A_000006_lat_04381_lon_-0108_size_0018.tif,0,,815,813
2016-01-18---2016-02-01_cluster_None,2016,2016-01-18,2016-02-01,14,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-18---2016-02-01_duration_14_days_cluster_019_A0_000002_A_000002_lat_04172_lon_00103_size_0010.tif,0,,26,204
2016-01-25---2016-03-14_cluster_None,2016,2016-01-25,2016-03-14,35,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-01-25---2016-03-14_duration_35_days_cluster_297_A0_002776_A_004102_lat_05140_lon_02331_size_0161.tif,9,Bidache; Candresse; Dax; Orist; Pey; Saint-Jean-de-Lier; Tercis-les-Bains; Vicq-d'Auribat; Yzosse,815,8959
2016-02-01---2016-02-08_cluster_None,2016,2016-02-01,2016-02-08,7,,6,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-02-01---2016-02-08_duration_7_days_cluster_029_A0_000010_A_000011_lat_03932_lon_-0037_size_0004.tif,0,,0,0
