cod_commune;lib_commune;dat_transmission_tim
77040;Boissise-le-Roi;2000-07-20 02:00:00
68039;Bisel;2000-01-17 01:00:00
11123;Duilhac-sous-Peyrepertuse;2001-11-09 01:00:00
57627;Sanry-sur-Nied;2001-07-17 02:00:00
33037;Beautiran;2001-02-07 01:00:00
54154;Deneuvre;2001-01-24 01:00:00
57696;Varsberg;2001-06-05 02:00:00
68197;Magstatt-le-Bas;2000-01-17 01:00:00
05071;Lardier-et-Valença;2001-02-12 01:00:00
93074;Vaujours;2001-11-29 01:00:00
57385;Laquenexy;2001-03-22 01:00:00
95183;Courdimanche;2000-10-03 02:00:00
95355;Magny-en-Vexin;2000-11-29 01:00:00
01249;Miribel;2001-06-22 02:00:00
51202;Cumières;2000-05-18 02:00:00
70331;Mantoche;2000-04-28 02:00:00
93079;Villetaneuse;2001-11-29 01:00:00
84044;Entrechaux;2000-02-01 01:00:00
17010;Angoulins;2001-03-20 01:00:00
17050;Bois;2000-03-22 01:00:00
42183;La Ricamarie;2000-05-25 02:00:00
38100;Le Cheylas;2000-07-10 02:00:00
05171;Théus;2000-11-27 01:00:00
60488;Passel;2001-03-30 02:00:00
39286;Lavans-lès-Saint-Claude;2001-03-09 01:00:00
68274;Rimbach-près-Guebwiller;2000-01-17 01:00:00
05098;Les Orres;2000-05-16 02:00:00
13116;Verquières;2000-09-05 02:00:00
05172;Trescléoux;2001-12-17 01:00:00
05109;Puy-Saint-Pierre;2000-05-16 02:00:00
39547;Vaux-lès-Saint-Claude;2001-03-09 01:00:00
68350;Vœgtlinshoffen;2000-01-17 01:00:00
68126;Hégenheim;2000-01-17 01:00:00
68019;Baltzenheim;2000-01-17 01:00:00
11165;Ginoles;2001-11-16 01:00:00
57752;Woustviller;2001-10-11 02:00:00
18091;Farges-Allichamps;2001-03-15 01:00:00
42018;Bessey;2001-05-29 02:00:00
83091;Pierrefeu-du-Var;2000-05-10 02:00:00
05136;Saint-Crépin;2001-12-10 01:00:00
39478;Saint-Claude;2001-03-09 01:00:00
68238;Niffer;2000-01-17 01:00:00
09280;Saurat;2000-02-29 01:00:00
33023;Ayguemorte-les-Graves;2001-02-07 01:00:00
68336;Traubach-le-Bas;2000-01-17 01:00:00
33081;Cadillac-sur-Garonne;2001-02-07 01:00:00
51605;Venteuil;2000-10-17 02:00:00
26037;Beaumont-lès-Valence;2000-11-13 01:00:00
03301;Vaux;2001-02-26 01:00:00
68100;Fulleren;2000-01-17 01:00:00
11270;Padern;2001-11-09 01:00:00
42222;Saint-Galmier;2001-05-29 02:00:00
05051;Étoile-Saint-Cyrice;2000-11-27 01:00:00
65295;Luz-Saint-Sauveur;2000-12-13 01:00:00
70398;Ormoiche;2000-08-30 02:00:00
68316;Soultzbach-les-Bains;2000-01-17 01:00:00
68264;Ranspach-le-Haut;2000-01-17 01:00:00
17190;L'Houmeau;2001-03-20 01:00:00
24547;Terrasson-Lavilledieu;2000-10-17 02:00:00
68232;Neuwiller;2000-01-17 01:00:00
97410;Saint-Benoît;2001-04-26 02:00:00
01233;Marchamp;2000-12-18 01:00:00
17463;Vergeroux;2001-02-14 01:00:00
37010;Auzouer-en-Touraine;2000-02-08 01:00:00
09326;Vèbre;2000-02-03 01:00:00
84039;Courthézon;2000-05-30 02:00:00
57302;Hattigny;2000-06-05 02:00:00
09103;Crampagna;2000-06-13 02:00:00
42049;Changy;2001-05-29 02:00:00
03143;Lételon;2000-12-18 01:00:00
95288;Groslay;2000-11-29 01:00:00
68175;Lapoutroie;2000-01-17 01:00:00
84037;Châteauneuf-du-Pape;2000-02-08 01:00:00
05078;Monêtier-Allemont;2000-12-11 01:00:00
09122;Foix;2000-02-03 01:00:00
13063;Miramas;2000-04-21 02:00:00
57728;Voimhaut;2001-02-19 01:00:00
39560;Villard-Saint-Sauveur;2001-03-09 01:00:00
18086;Drevant;2001-04-04 02:00:00
39339;Chassal-Molinges;2001-03-09 01:00:00
68353;Wahlbach;2000-01-17 01:00:00
37276;Villedômer;2000-02-08 01:00:00
63308;Royat;2001-12-18 01:00:00
46127;Gourdon;2000-02-07 01:00:00
95218;Éragny;2000-03-13 01:00:00
24587;Vitrac;2001-01-24 01:00:00
11263;Nébias;2001-10-09 02:00:00
42115;Jonzieux;2000-05-25 02:00:00
60151;Choisy-au-Bac;2000-01-11 01:00:00
95476;Osny;2000-10-03 02:00:00
17167;Le Fouilloux;2000-03-22 01:00:00
01024;Attignat;2000-10-03 02:00:00
68286;Rosenau;2000-01-17 01:00:00
05116;Réotier;2001-12-06 01:00:00
51048;Belval-sous-Châtillon;2000-10-17 02:00:00
61412;Saint-Julien-sur-Sarthe;2000-10-30 01:00:00
38524;Varces-Allières-et-Risset;2000-07-11 02:00:00
95268;Garges-lès-Gonesse;2001-10-25 02:00:00
62556;Marles-sur-Canche;2000-12-26 01:00:00
51592;Vandières;2000-07-12 02:00:00
05166;Serres;2000-08-07 02:00:00
42189;Roche-la-Molière;2001-05-29 02:00:00
11209;Luc-sur-Aude;2000-02-11 01:00:00
18270;Vallenay;2001-02-19 01:00:00
57051;Baronville;2001-03-13 01:00:00
57633;Sarreinsming;2001-05-03 02:00:00
95436;Mours;2000-10-10 02:00:00
03168;Meaulne-Vitray;2000-12-18 01:00:00
68259;Raedersdorf;2000-01-17 01:00:00
68058;Buhl;2001-05-29 02:00:00
68237;Niedermorschwihr;2000-01-17 01:00:00
33327;Podensac;2001-02-07 01:00:00
38528;Vaulnaveys-le-Bas;2000-07-10 02:00:00
63164;Gerzat;2001-12-18 01:00:00
95627;Vallangoujard;2000-11-29 01:00:00
68349;Village-Neuf;2000-11-24 01:00:00
97234;Bellefontaine;2001-11-14 01:00:00
60423;Montmacq;2001-03-30 02:00:00
93051;Noisy-le-Grand;2001-11-19 01:00:00
95604;Survilliers;2000-04-12 02:00:00
05097;Orpierre;2001-05-15 02:00:00
69264;Villefranche-sur-Saône;2001-04-30 02:00:00
11430;Villeneuve-la-Comptal;2001-10-24 02:00:00
01032;Béligneux;2001-06-22 02:00:00
05075;Manteyer;2001-05-15 02:00:00
17279;Plassac;2000-03-22 01:00:00
11356;Saint-Martin-Lalande;2001-10-17 02:00:00
68326;Sternenberg;2000-01-17 01:00:00
95154;Chennevières-lès-Louvres;2000-04-17 02:00:00
37206;Saint-Antoine-du-Rocher;2000-02-08 01:00:00
09024;Aston;2000-03-30 02:00:00
05152;Saint-Maurice-en-Valgodemard;2001-05-15 02:00:00
26347;Tain-l'Hermitage;2000-10-16 02:00:00
57328;Holacourt;2001-07-12 02:00:00
97206;Le Diamant;2001-02-01 01:00:00
67334;Niedersteinbach;2000-03-20 01:00:00
09189;Mérens-les-Vals;2000-03-30 02:00:00
