CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRM;Plan de Prévention des Risques Miniers;59DDTM20140003;PPRM Pays de Conde;Direction départementale des territoires et de la mer;;;;32;HAUTS-DE-FRANCE;59;NORD;59153;Condé-sur-l'Escaut;30;Risque minier;31;Affaissement minier;315;Glissements ou mouvements de pente;FAUX;;FAUX;;2014-11-17;;;;;2018-07-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-26
PPRM;Plan de Prévention des Risques Miniers;PPRM_2022_0002;PPRM - ONDAINE;Direction départementale des territoires;;;;;;42;LOIRE;42044;Le Chambon-Feugerolles;30;Risque minier;34;Echauffement des terrains de dépôts;;;FAUX;;FAUX;;2022-08-17;2025-03-03;2025-04-11;;;2025-06-30;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-07-22
PPRM;Plan de Prévention des Risques Miniers;42DDT20130002;PPRM DE LA VALLEE DU GIER;Direction départementale des territoires;GIER;;;84;AUVERGNE-RHONE-ALPES;42;LOIRE;42207;Saint-Chamond;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;FAUX;;FAUX;;2014-10-15;2018-12-10;2019-01-25;;;2019-03-29;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-21
PPRM;Plan de Prévention des Risques Miniers;59DDTM20160022;PPR Puits de mines;Direction départementale des territoires et de la mer;Petite Foret;;;32;HAUTS-DE-FRANCE;59;NORD;59459;Petite-Forêt;30;Risque minier;31;Affaissement minier;;;FAUX;;FAUX;;1996-03-26;;;;;;;2017-08-16;Caduque;2020-01-01;Abrogé;2020-01-01;2017-08-28
PPRM;Plan de Prévention des Risques Miniers;38DDT20180001;PPRM du Plateau Matheysin;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38266;La Motte-Saint-Martin;30;Risque minier;34;Echauffement des terrains de dépôts;;;FAUX;;FAUX;;2007-12-10;2018-12-05;2019-01-19;;;2019-06-11;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-11
PPRM;Plan de Prévention des Risques Miniers;63DDT20140005;PPRminiers de Brassac les Mines;Direction départementale des territoires;de Brassac les Mines;;;84;AUVERGNE-RHONE-ALPES;63;PUY-DE-DOME;63050;Brassac-les-Mines;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2014-07-16;;;;;2017-09-11;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-11
PPRM;Plan de Prévention des Risques Miniers;57DDT20200011;PPRM-Bassin Belval 3ème révision;Direction départementale des territoires;;;;44;GRAND EST;57;MOSELLE;57038;Audun-le-Tiche;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;VRAI;57DDT20150001;FAUX;;2020-07-09;;;;;2021-12-22;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-09
PPRM;Plan de Prévention des Risques Miniers;57DDT20100009;PPRM-Fensch;Direction départementale des territoires;Bassin ferrifère;;;44;GRAND EST;57;MOSELLE;57368;Knutange;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;VRAI;57DDT20150002;2006-10-17;;;;;2013-03-18;;2017-01-26;Caduque;2020-01-01;Abrogé;2020-01-01;2025-01-09
PPRM;Plan de Prévention des Risques Miniers;54DDT20140038;PPRM Secteur de Longwy;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54138;Cosnes-et-Romain;30;Risque minier;31;Affaissement minier;313;Affaissements progressifs;FAUX;;FAUX;;2008-01-10;;;;;2012-01-24;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;57DDT20100005;PPRM-Bassin Sud révision;Direction départementale des territoires;Bassin ferrifère;;;44;GRAND EST;57;MOSELLE;57481;Montois-la-Montagne;30;Risque minier;31;Affaissement minier;314;Tassements;VRAI;57DDT20100004;VRAI;57DDT20140009;2007-02-19;;;;;2011-02-28;;2016-03-08;Caduque;2020-01-01;Abrogé;2020-01-01;2025-01-09
PPRM;Plan de Prévention des Risques Miniers;54DDT20140041;PPRM Secteur BRIEY;Direction départementale des territoires;Miniers;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54028;Auboué;30;Risque minier;31;Affaissement minier;313;Affaissements progressifs;VRAI;54DDT20140031;VRAI;54DDT20190001;2014-03-12;;;;;2016-08-23;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;38DDT20180001;PPRM du Plateau Matheysin;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38280;Notre-Dame-de-Vaulx;30;Risque minier;33;Emissions en surface de gaz de mine;;;FAUX;;FAUX;;2007-12-10;2018-12-05;2019-01-19;;;2019-06-11;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-11
PPRM;Plan de Prévention des Risques Miniers;54DDT20140038;PPRM Secteur de Longwy;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54261;Herserange;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2008-01-10;;;;;2012-01-24;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;61DDT20120014;PPR-M - La Ferrière aux Étangs;Direction départementale des territoires;;;;28;NORMANDIE;61;ORNE;61124;La Coulonche;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2007-09-17;2010-12-09;2011-01-13;;;2011-08-01;;;Opposable;2020-01-01;Approuvé;2020-01-01;2012-10-19
PPRM;Plan de Prévention des Risques Miniers;42DDT20160002;PPRM VALLEE DE L'ONDAINE;Direction départementale des territoires;ONDAINE;;;84;AUVERGNE-RHONE-ALPES;42;LOIRE;42099;Fraisses;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2016-03-15;2018-01-22;2018-02-27;;;2018-07-11;2023-02-05;;Caduque;2020-01-01;Annulé;2020-01-01;2023-02-02
PPRM;Plan de Prévention des Risques Miniers;42DDT20170001;PPRM NORD ET EST St ETIENNE;Direction départementale des territoires;St ETIENNE;;;84;AUVERGNE-RHONE-ALPES;42;LOIRE;42097;La Fouillouse;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;FAUX;;FAUX;;2012-04-30;2016-03-29;2016-04-29;;;2016-09-08;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-21
PPRM;Plan de Prévention des Risques Miniers;55DDT20130002;PPRm;Direction départementale des territoires;Bassin Ferrifère;;;44;GRAND EST;55;MEUSE;55182;Éton;30;Risque minier;31;Affaissement minier;313;Affaissements progressifs;FAUX;;FAUX;;2006-05-09;2009-03-04;2009-04-04;;;2009-12-22;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-10
PPRM;Plan de Prévention des Risques Miniers;14DDTM20110007;PPR bassin minier de Soumont Saint Quentin;Direction départementale des territoires et de la mer;Mines de Soumont;;;28;NORMANDIE;14;CALVADOS;14603;Saint-Laurent-de-Condel;30;Risque minier;31;Affaissement minier;311;Effondrements généralisés;FAUX;;FAUX;;2005-11-14;2008-06-27;2008-06-27;;;2009-01-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-14
PPRM;Plan de Prévention des Risques Miniers;59DDTM20140005;PPRM couronne de Valenciennes;Direction départementale des territoires et de la mer;;;;32;HAUTS-DE-FRANCE;59;NORD;59014;Anzin;30;Risque minier;34;Echauffement des terrains de dépôts;;;FAUX;;FAUX;;2014-11-17;;;;;2018-07-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-26
PPRM;Plan de Prévention des Risques Miniers;PPRM_2022_0001;PPRM - Bassin Nord 2ème révision;Direction départementale des territoires;;;;;;57;MOSELLE;57586;Rochonvillers;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;VRAI;57DDT20100003;FAUX;;2021-09-20;;;;;2022-11-15;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-18
