CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRT;Plan de Prévention des Risques Technologiques;14DDTM20160001;PPRT EPC France (Boulon);Direction départementale des territoires et de la mer;calvados;;;28;NORMANDIE;14;CALVADOS;14090;Boulon;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2011-02-01;;;;;2013-04-03;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;76DREAL20140008;Port Jérôme;Direction régionale de l'environnement, de l'aménagement et du logement;;;;28;NORMANDIE;76;SEINE-MARITIME;76592;Saint-Jean-de-Folleville;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-05-29;2014-04-14;2014-05-21;;;2014-08-07;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;67DREAL20140043;67 PPRT BUTAGAZ;Direction régionale de l'environnement, de l'aménagement et du logement;67 PPRT BUTAGAZ;;;44;GRAND EST;67;BAS-RHIN;67389;Reichstett;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2012-11-20;2014-03-31;2014-04-30;;;2014-07-21;;2024-09-26;Caduque;2020-01-01;Abrogé;2020-01-01;2025-01-10
PPRT;Plan de Prévention des Risques Technologiques;49DDT20110020;PPRT Zach System Avrillé;Direction départementale des territoires;;;;52;PAYS DE LA LOIRE;49;MAINE-ET-LOIRE;49214;Montreuil-Juigné;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2010-12-22;2014-05-12;2014-06-13;;;2014-10-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;18DREAL20140002;BUTAGAZ (Aubigny/Nère);Direction régionale de l'environnement, de l'aménagement et du logement;;;;24;CENTRE-VAL DE LOIRE;18;CHER;18015;Aubigny-sur-Nère;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-06-25;2013-01-08;2013-02-08;;;2014-04-01;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-02
PPRT;Plan de Prévention des Risques Technologiques;62DREAL20140008;PPRT PRIMAGAZ;Direction régionale de l'environnement, de l'aménagement et du logement;;;;32;HAUTS-DE-FRANCE;62;PAS-DE-CALAIS;62263;Dainville;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-09-15;2016-11-30;2016-12-30;;;2017-09-25;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;18DDT20140002;PPRT du site militaire d'Avord;Direction départementale des territoires;;;;24;CENTRE-VAL DE LOIRE;18;CHER;18247;Savigny-en-Septaine;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2012-12-21;2014-11-03;2014-12-02;;;2015-03-09;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-02
PPRT;Plan de Prévention des Risques Technologiques;54DDT20140030;PPRT VILCEY;Direction départementale des territoires;Industriel;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54566;Vilcey-sur-Trey;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2013-07-31;;;;;2015-01-31;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;38DDT20140002;ARKEMA AREVA-CEZUS - Jarrie;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38528;Vaulnaveys-le-Bas;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;VRAI;38DDT20140007;2010-06-14;2010-10-15;2010-11-15;;;2010-12-20;;2015-05-22;Caduque;2020-01-01;Abrogé;2020-01-01;2020-12-04
PPRT;Plan de Prévention des Risques Technologiques;31DREAL20140004;PPRT - BASF;Direction régionale de l'environnement, de l'aménagement et du logement;BOUSSENS;;;76;OCCITANIE;31;HAUTE-GARONNE;31457;Roquefort-sur-Garonne;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2010-01-14;2016-06-13;2016-07-13;;;2016-10-17;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
