jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2023-08-28---2023-09-04_duration_7_days_cluster_225_A0_000012_A_000015_lat_04821_lon_-0302_size_0082,2023-08-28,2023-09-04,34,5,5
WD_MERGE_2023-09-04---2023-09-11_duration_7_days_cluster_240_A0_000001_A_000001_lat_04678_lon_00320_size_0033,2023-09-04,2023-09-11,17,5,5
WD_MERGE_2023-09-11---2023-09-18_duration_7_days_cluster_243_A0_000001_A_000001_lat_04864_lon_-0402_size_0038,2023-09-11,2023-09-18,8,2,2
WD_MERGE_2024-01-08---2024-01-15_duration_7_days_cluster_004_A0_000006_A_000006_lat_04868_lon_-0387_size_0026,2024-01-08,2024-01-15,19,2,2
WD_MERGE_2024-03-25---2024-04-01_duration_7_days_cluster_038_A0_000015_A_000018_lat_04738_lon_-0224_size_0005,2024-03-25,2024-04-01,23,2,2
WD_MERGE_2024-04-01---2024-04-15_duration_14_days_cluster_042_A0_000057_A_000061_lat_04104_lon_-0396_size_0164,2024-04-01,2024-04-15,26,2,2
WD_MERGE_2024-07-22---2024-07-29_duration_7_days_cluster_138_A0_000002_A_000002_lat_04359_lon_00451_size_0009,2024-07-22,2024-07-29,10,2,2
WD_MERGE_2024-09-16---2024-09-23_duration_7_days_cluster_200_A0_000078_A_000084_lat_05254_lon_00062_size_0048,2024-09-16,2024-09-23,1,1,1
WD_MERGE_2024-11-04---2024-11-11_duration_7_days_cluster_257_A0_000006_A_000006_lat_04877_lon_-0367_size_0010,2024-11-04,2024-11-11,19,2,2
WD_MERGE_2024-11-18---2024-11-25_duration_7_days_cluster_279_A0_000006_A_000006_lat_04354_lon_-0131_size_0020,2024-11-18,2024-11-25,26,2,2
WD_MERGE_2024-11-18---2024-12-02_duration_14_days_cluster_283_A0_000091_A_000102_lat_05070_lon_00633_size_0269,2024-11-18,2024-12-02,330,11,11
WD_MERGE_2024-11-25---2025-01-06_duration_42_days_cluster_289_A0_000090_A_000098_lat_04032_lon_-0188_size_0224,2024-11-25,2025-01-06,13,2,2
WD_MERGE_2024-12-02---2025-01-06_duration_28_days_cluster_296_A0_000187_A_000206_lat_04823_lon_00558_size_0113,2024-12-02,2025-01-06,700,25,25
WD_MERGE_2024-12-23---2025-01-06_duration_14_days_cluster_321_A0_000004_A_000004_lat_04826_lon_-0303_size_0074,2024-12-23,2025-01-06,12,2,2
