event_id,raster_file,raster_path,source_year_folder,start_date,end_date,duration_days,flood_id,gfm_extent_km2,enhanced_extent_km2,centroid_lat_cents,centroid_lon_cents,spatial_spread_units,nuts0_code,nuts0_name,max_depth_cm,flooded_pixels,flooded_area_m2,n_lau
WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135,WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,2015,2015-01-12,2015-02-16,35,334,858,977,4195,2691,135,EL,Ελλάδα ,1208.0,588948,235579200.0,107
WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135,WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,2015,2015-01-12,2015-02-16,35,334,858,977,4195,2691,135,MK,Северна Македонија,203.0,19431,7772400.0,6
WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135,WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,2015,2015-01-12,2015-02-16,35,334,858,977,4195,2691,135,RO,România,1994.0,559135,223654000.0,203
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,BE,Belgique/België,976.0,3067,1226800.0,13
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,DE,Deutschland,788.0,308517,123406800.0,238
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,DK,Danmark,685.0,85499,34199600.0,22
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,FR,France,426.0,43960,17584000.0,94
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,LT,Lietuva,265.0,82770,33108000.0,5
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,LV,Latvija,412.0,93730,37492000.0,18
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,NL,Nederland,567.0,6670,2668000.0,41
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,2015,2015-01-12,2015-02-23,35,16,229,294,5413,1326,370,PL,Polska,576.0,80181,32072400.0,36
