jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2018-08-06---2018-08-13_duration_7_days_cluster_168_A0_000001_A_000001_lat_04356_lon_00459_size_0015,INTE1828404A__20180809__20180809,INTE1828404A,2018-08-06,2018-08-13,2018-08-09,2018-08-09,2,0,2,2,2,3.0,4.0,7.0,7,1,2018-08-06,2018-08-13,6,3,3,2018-08-09,2018-08-09,7,2,0.6666666666666666,1.0,1
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2104714A__20200509__20200511,INTE2104714A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,2,0,2,0,2,2.0,7.0,9.0,9,1,2020-05-11,2020-05-18,60,3,3,2020-05-09,2020-05-11,4,2,0.6666666666666666,1.0,1
WD_MERGE_2024-05-06---2024-07-22_duration_63_days_cluster_363_A0_000731_A_000802_lat_04047_lon_-0464_size_0340,INTE2424582A__20240607__20240608,INTE2424582A,2024-05-06,2024-07-22,2024-06-07,2024-06-08,2,0,0,0,2,32.0,44.0,76.0,76,2,2024-05-06,2024-07-22,36,3,3,2024-06-07,2024-06-08,13,2,0.6666666666666666,1.0,1
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_251_A0_000047_A_000055_lat_04322_lon_00298_size_0008,INTE1829420A__20181014__20181015,INTE1829420A,2018-10-15,2018-10-22,2018-10-14,2018-10-15,2,0,2,0,2,1.0,7.0,8.0,8,1,2018-10-15,2018-10-22,40,3,3,2018-10-14,2018-10-15,131,3,0.6666666666666666,0.6666666666666666,1
WD_MERGE_2022-10-31---2022-11-07_duration_7_days_cluster_272_A0_000001_A_000001_lat_04370_lon_00453_size_0035,IOME2235873A__20221101__20221101,IOME2235873A,2022-10-31,2022-11-07,2022-11-01,2022-11-01,2,0,2,2,2,1.0,6.0,7.0,7,1,2022-10-31,2022-11-07,11,4,4,2022-11-01,2022-11-01,5,2,0.5,1.0,1
WD_MERGE_2024-08-19---2024-08-26_duration_7_days_cluster_170_A0_000005_A_000006_lat_04827_lon_-0328_size_0063,INTE2430293A__20240830__20240831,INTE2430293A,2024-08-19,2024-08-26,2024-08-30,2024-08-31,2,0,0,0,2,11.0,5.0,16.0,16,0,2024-08-19,2024-08-26,38,4,4,2024-08-30,2024-08-31,3,2,0.5,1.0,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2320253A__20230620__20230622,IOME2320253A,2023-06-19,2023-06-26,2023-06-20,2023-06-22,2,0,2,2,2,1.0,4.0,5.0,5,3,2023-06-19,2023-06-26,50,5,5,2023-06-20,2023-06-22,96,2,0.4,1.0,1
WD_MERGE_2024-07-01---2024-07-08_duration_7_days_cluster_118_A0_000009_A_000009_lat_04830_lon_00554_size_0025,IOME2420215A__20240625__20240625,IOME2420215A,2024-07-01,2024-07-08,2024-06-25,2024-06-25,2,0,0,0,2,6.0,13.0,19.0,19,0,2024-07-01,2024-07-08,62,7,7,2024-06-25,2024-06-25,15,2,0.2857142857142857,1.0,1
WD_MERGE_2019-04-29---2019-06-17_duration_35_days_cluster_116_A0_000452_A_000518_lat_04056_lon_00008_size_0153,INTE1922702A__20190615__20190615,INTE1922702A,2019-04-29,2019-06-17,2019-06-15,2019-06-15,2,0,0,0,2,47.0,2.0,49.0,49,1,2019-04-29,2019-06-17,78,9,9,2019-06-15,2019-06-15,6,3,0.2222222222222222,0.6666666666666666,1
WD_MERGE_2024-05-27---2024-06-03_duration_7_days_cluster_078_A0_000026_A_000028_lat_04593_lon_-0081_size_0043,INTE2424582A__20240522__20240522,INTE2424582A,2024-05-27,2024-06-03,2024-05-22,2024-05-22,2,0,0,0,2,5.0,12.0,17.0,17,0,2024-05-27,2024-06-03,140,9,9,2024-05-22,2024-05-22,4,4,0.2222222222222222,0.5,1
WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_092_A0_000022_A_000031_lat_04846_lon_-0194_size_0116,INTE1517820A__20150503__20150505,INTE1517820A,2015-04-27,2015-05-11,2015-05-03,2015-05-05,2,0,2,0,2,6.0,6.0,12.0,12,3,2015-04-27,2015-05-11,103,10,10,2015-05-03,2015-05-05,3,2,0.2,1.0,1
