jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2017-06-05---2017-06-12_duration_7_days_cluster_128_A0_000013_A_000014_lat_04360_lon_00453_size_0013,2017-06-05,2017-06-12,15,4,4
WD_MERGE_2017-06-26---2017-07-03_duration_7_days_cluster_143_A0_000004_A_000005_lat_04751_lon_-0292_size_0039,2017-06-26,2017-07-03,39,4,4
WD_MERGE_2017-07-10---2017-07-17_duration_7_days_cluster_158_A0_000001_A_000001_lat_04730_lon_-0237_size_0017,2017-07-10,2017-07-17,12,4,4
WD_MERGE_2017-07-10---2017-07-31_duration_21_days_cluster_160_A0_000009_A_000010_lat_04510_lon_-0029_size_0061,2017-07-10,2017-07-31,50,12,12
WD_MERGE_2017-07-24---2017-07-31_duration_7_days_cluster_175_A0_000008_A_000009_lat_04868_lon_-0381_size_0023,2017-07-24,2017-07-31,24,2,2
WD_MERGE_2017-08-21---2017-08-28_duration_7_days_cluster_201_A0_000002_A_000003_lat_04988_lon_-0485_size_0203,2017-08-21,2017-08-28,6,1,1
WD_MERGE_2017-08-28---2017-09-04_duration_7_days_cluster_209_A0_000001_A_000001_lat_04469_lon_-0071_size_0006,2017-08-28,2017-09-04,7,1,1
WD_MERGE_2017-09-04---2017-09-11_duration_7_days_cluster_215_A0_000003_A_000005_lat_04761_lon_-0288_size_0023,2017-09-04,2017-09-11,26,2,2
WD_MERGE_2017-09-11---2017-09-18_duration_7_days_cluster_224_A0_000003_A_000003_lat_04378_lon_00452_size_0034,2017-09-11,2017-09-18,21,4,4
WD_MERGE_2017-09-25---2017-10-02_duration_7_days_cluster_241_A0_000001_A_000001_lat_04399_lon_00472_size_0033,2017-09-25,2017-10-02,17,6,6
WD_MERGE_2017-10-02---2017-10-09_duration_7_days_cluster_247_A0_000004_A_000004_lat_04878_lon_-0358_size_0003,2017-10-02,2017-10-09,15,2,2
WD_MERGE_2017-10-16---2017-10-30_duration_14_days_cluster_264_A0_000002_A_000003_lat_04401_lon_00651_size_0047,2017-10-16,2017-10-30,31,5,5
