jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,gaspar_match_rank
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201230__20210103,INTE2105706A,2021-01-04,2021-01-11,2020-12-30,2021-01-03,1,0,0,0,1,5.0,8.0,13.0,13,0,2021-01-04,2021-01-11,51,2,2,2020-12-30,2021-01-03,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201231__20210101,INTE2104714A,2021-01-04,2021-01-11,2020-12-31,2021-01-01,1,0,0,0,1,4.0,10.0,14.0,14,0,2021-01-04,2021-01-11,51,2,2,2020-12-31,2021-01-01,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201229__20210102,INTE2104714A,2021-01-04,2021-01-11,2020-12-29,2021-01-02,1,0,0,0,1,6.0,9.0,15.0,15,0,2021-01-04,2021-01-11,51,2,2,2020-12-29,2021-01-02,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201227__20210104,INTE2105706A,2021-01-04,2021-01-11,2020-12-27,2021-01-04,1,0,0,0,1,8.0,7.0,15.0,15,1,2021-01-04,2021-01-11,51,2,2,2020-12-27,2021-01-04,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2112076A__20201227__20210104,INTE2112076A,2021-01-04,2021-01-11,2020-12-27,2021-01-04,1,0,0,0,1,8.0,7.0,15.0,15,1,2021-01-04,2021-01-11,51,2,2,2020-12-27,2021-01-04,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2112076A__20201229__20210102,INTE2112076A,2021-01-04,2021-01-11,2020-12-29,2021-01-02,1,0,0,0,1,6.0,9.0,15.0,15,0,2021-01-04,2021-01-11,51,2,2,2020-12-29,2021-01-02,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201227__20210103,INTE2104714A,2021-01-04,2021-01-11,2020-12-27,2021-01-03,1,0,0,0,1,8.0,8.0,16.0,16,0,2021-01-04,2021-01-11,51,2,2,2020-12-27,2021-01-03,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2107265A__20201227__20210103,INTE2107265A,2021-01-04,2021-01-11,2020-12-27,2021-01-03,1,0,0,0,1,8.0,8.0,16.0,16,0,2021-01-04,2021-01-11,51,2,2,2020-12-27,2021-01-03,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201227__20201230,INTE2104714A,2021-01-04,2021-01-11,2020-12-27,2020-12-30,1,0,0,0,1,8.0,12.0,20.0,20,0,2021-01-04,2021-01-11,51,2,2,2020-12-27,2020-12-30,1,1,0.0196078431372549,1.0,1
WD_MERGE_2024-10-07---2024-10-21_duration_14_days_cluster_226_A0_000009_A_000009_lat_04785_lon_-0287_size_0091,INTE2430293A__20241008__20241008,INTE2430293A,2024-10-07,2024-10-21,2024-10-08,2024-10-08,1,0,0,0,1,1.0,13.0,14.0,14,1,2024-10-07,2024-10-21,51,5,5,2024-10-08,2024-10-08,3,2,0.0196078431372549,0.3333333333333333,1
