jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank,reciprocal_best_match
WD_MERGE_2016-11-14---2016-12-19_duration_35_days_cluster_259_A0_000162_A_000198_lat_05177_lon_-0106_size_0154,INTE1705706A__20161118__20161119,INTE1705706A,2016-11-14,2016-12-19,2016-11-18,2016-11-19,2,0,0,0,2,4.0,30.0,34.0,34,2,2016-11-14,2016-12-19,94,10,10,2016-11-18,2016-11-19,3,2,0.2,1.0,1,True
WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_092_A0_000022_A_000031_lat_04846_lon_-0194_size_0116,INTE1517820A__20150430__20150502,INTE1517820A,2015-04-27,2015-05-11,2015-04-30,2015-05-02,2,0,0,0,2,3.0,9.0,12.0,12,3,2015-04-27,2015-05-11,103,10,10,2015-04-30,2015-05-02,3,3,0.2,0.6666666666666666,2,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1626972A__20160607__20160607,INTE1626972A,2016-05-30,2016-06-13,2016-06-07,2016-06-07,2,0,0,0,2,8.0,6.0,14.0,14,1,2016-05-30,2016-06-13,207,13,13,2016-06-07,2016-06-07,3,2,0.15384615384615385,1.0,4,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1633036A__20160607__20160607,INTE1633036A,2016-05-30,2016-06-13,2016-06-07,2016-06-07,2,0,0,0,2,8.0,6.0,14.0,14,1,2016-05-30,2016-06-13,207,13,13,2016-06-07,2016-06-07,2,2,0.15384615384615385,1.0,5,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1620877A__20160528__20160529,INTE1620877A,2016-05-30,2016-06-13,2016-05-28,2016-05-29,2,0,0,0,2,2.0,15.0,17.0,17,0,2016-05-30,2016-06-13,207,13,13,2016-05-28,2016-05-29,3,2,0.15384615384615385,1.0,6,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1615488A__20160528__20160604,INTE1615488A,2016-05-30,2016-06-13,2016-05-28,2016-06-04,2,0,0,0,2,2.0,9.0,11.0,11,6,2016-05-30,2016-06-13,207,13,13,2016-05-28,2016-06-04,158,3,0.15384615384615385,0.6666666666666666,7,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1620877A__20160529__20160601,INTE1620877A,2016-05-30,2016-06-13,2016-05-29,2016-06-01,2,0,0,0,2,1.0,12.0,13.0,13,3,2016-05-30,2016-06-13,207,13,13,2016-05-29,2016-06-01,7,3,0.15384615384615385,0.6666666666666666,8,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1620877A__20160602__20160603,INTE1620877A,2016-05-30,2016-06-13,2016-06-02,2016-06-03,2,0,0,0,2,3.0,10.0,13.0,13,2,2016-05-30,2016-06-13,207,13,13,2016-06-02,2016-06-03,3,3,0.15384615384615385,0.6666666666666666,9,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1620877A__20160604__20160604,INTE1620877A,2016-05-30,2016-06-13,2016-06-04,2016-06-04,2,0,0,0,2,5.0,9.0,14.0,14,1,2016-05-30,2016-06-13,207,13,13,2016-06-04,2016-06-04,16,3,0.15384615384615385,0.6666666666666666,10,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1630434A__20160529__20160531,INTE1630434A,2016-05-30,2016-06-13,2016-05-29,2016-05-31,2,0,0,0,2,1.0,13.0,14.0,14,2,2016-05-30,2016-06-13,207,13,13,2016-05-29,2016-05-31,10,4,0.15384615384615385,0.5,11,False
