event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,n_tiles_processed,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-05-18---2015-05-25_cluster_107,2015,2015-05-18,2015-05-25,7,107,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-18---2015-05-25_duration_7_days_cluster_107_A0_000017_A_000019_lat_04358_lon_00458_size_0014.tif,0,,3599,1154
2015-05-18---2015-05-25_cluster_110,2015,2015-05-18,2015-05-25,7,110,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-18---2015-05-25_duration_7_days_cluster_110_A0_000032_A_000073_lat_03550_lon_03754_size_0015.tif,0,,0,0
2015-05-25---2015-06-15_cluster_113,2015,2015-05-25,2015-06-15,21,113,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-25---2015-06-15_duration_21_days_cluster_113_A0_000078_A_000115_lat_04552_lon_01696_size_0049.tif,0,,0,0
2015-06-01---2015-06-08_cluster_119,2015,2015-06-01,2015-06-08,7,119,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_119_A0_000002_A_000002_lat_04690_lon_00312_size_0169.tif,2,La Madeleine-Villefrouin; Villorceau,9893,6310
2015-06-01---2015-06-08_cluster_120,2015,2015-06-01,2015-06-08,7,120,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_120_A0_000002_A_000002_lat_05659_lon_01626_size_0013.tif,0,,0,0
2015-06-01---2015-06-08_cluster_121,2015,2015-06-01,2015-06-08,7,121,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_121_A0_000002_A_000002_lat_06568_lon_01936_size_0026.tif,0,,0,0
2015-06-01---2015-06-08_cluster_123,2015,2015-06-01,2015-06-08,7,123,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_123_A0_000034_A_000041_lat_04511_lon_02887_size_0071.tif,0,,0,0
2015-06-01---2015-06-08_cluster_124,2015,2015-06-01,2015-06-08,7,124,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_124_A0_000002_A_000003_lat_05655_lon_03092_size_0243.tif,0,,0,0
2015-06-01---2015-06-08_cluster_125,2015,2015-06-01,2015-06-08,7,125,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_125_A0_000014_A_000017_lat_06519_lon_03152_size_0065.tif,0,,0,0
2015-06-22---2015-06-29_cluster_134,2015,2015-06-22,2015-06-29,7,134,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-22---2015-06-29_duration_7_days_cluster_134_A0_000002_A_000003_lat_04147_lon_-0421_size_0174.tif,0,,815,813
